Sentimiento,Regiones
N,Bogota 
N,Goinia
N,Colombia
N,Cundinamarca
N,Maracaibo
N,Venezuela    turkiye
N,Burgos
N,Mexico  czech republic
N,Duque de caxias
N,So joo de meriti
N,Colombia ibague tolima
P,Porniaville
P,Porniaville
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Colombia ibague tolima
P,Colombia
N,Caracas
P,Caracas
N,Colombia ibague tolima
P,Colombia ibague tolima
N,Colombia ibague tolima
N,Por perto
N,Por perto
N,Iraque
N,Itaborai
N,Bangu city
N,Rocinha
N,Rio of jah neiro
P,Da base
N,French polynesia
P,Complexo do lins
N,Colombia
N,Washington dc  baltimore
N,Venezuela
P,Nariño
N,Quindio
N,Colombia
P,Peru
N,Venice
N,Colombia
N,Colombia
N,Colombia
N,Vila velha
N,Alief
N,Colombia
N,Colombia
N,Colombia
P,Colombia
N,Distrito capital
N,Colombia
N,stanbul
N,Barranquilla colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Seattle
N,Detroit
N,Canada
N,Colombia
N,Antioquia
N,Cundinamarca
N,Colombia
N,Valledupar
N,Cundinamarca
N,Atlantico
N,Atlantico
P,Chicago
N,Atlantico
N,Canada
N,Colombia
N,Norte de Santander
N,Colombia
N,Valle del Cauca
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Rua do monte 
N,Corozal
N,Cundinamarca
N,Colombia ibague tolima
N,Antioquia
N,Colombia
N,El tambo
N,En mi subconsciente
N,Colombia
N,Guayaquil 
N,Cundinamarca
N,Costa rica
N,Chicago
N,Colombia
N,Cundinamarca
N,En algun lugar de la mancha
N,Colombia
N,In her qk
N,Antioquia
N,Colombia
N,Cundinamarca
N,Bridgewater
N,So gonalo
N,Bogota colombia
N,Colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia
N,Cagua
N,Cundinamarca
N,Guayaquil
N,Cundinamarca
P,Colombia
N,Colombia
N,Guayaquil 
N,Colombia ibague tolima
P,Guayaquil
P,Cundinamarca
P,Santo domingo
P,Colombia
P,Cundinamarca
P,Colombia
NEU,Santa fe
N,Antioquia
N,Echapor
N,Complexo do lins
N,Colombia
N,Ei t em bangu
N,Complexo do lins
N,Complexo do lins
N,Campo grande
P,Jau 
N,Tachira venezuela
P,Cundinamarca
P,Bogota dc
P,Barinas
N,Bolivia
N,Bolivia
N,Distrito capital
N,Colombia
N,Colombia
N,La paz
N,Venezuela
N,Venezuela redcomunicacional
N,Venezuela
N,Colombia
N,Miranda
N,Venezuela
N,redcomunicacional
N,Venezuela 
N,Caracas
N,Colombia
N,Chacao
N,Distrito capital
N,Nicaragua
P,Mexico
P,Venezuela
N,Colombia
N,Comunidade de madrid
P,Santander
N,America latina
P,Caracas
N,Valledupar cesar colombia
P,Valencia
P,Valencia
P,Maracaibo
P,Caracas
P,Caracas
P,Caracas
P,Ecuador
P,Puerto rico
P,Puerto rico
N,Caracas
P,Asuncion
P,Colombia
P,G
P,Yoknapatawpha
P,Guayaquil
N,Santo domingo
N,Ecuador
N,Colombia
N,Santa marta
N,Pereira
N,Cundinamarca
N,Bogota 
N,Venezuela
N,Venezuela
N,Venezuela
N,Venezuela
N,Caracas
N,Las vegas
N,Colombia
N,En algun lugar de mi patria
N,Panama
N,Colombia
N,Cundinamarca
N,Valle del Cauca
N,Quito
N,Cundinamarca
P,Colombia
N,Viendo
N,Guadalajara
N,Manhattan 10040
N,En el ombligo del mundo
N,Bolivar
N,Colombia
N,Cundinamarca
N,Atlantico
N,Colombia
N,Curicica
N,Guadalupe
N,Complexo do lins
N,Cundinamarca
N,Colombia
N,Valledupar
N,Colombia
N,Ecualia
P,Back in the bay
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia ibague tolima
N,Lima peru
P,Colombia ibague tolima
N,Colombia ibague tolima
P,Itagui
N,Colombia ibague tolima
N,Colombia ibague tolima
N,Leopoldina
N,Rio de janeiro
N,Jl faixa de gaza
P,Cundinamarca
N,Cundinamarca
N,El que emprende 
P,Buga
N,Barcelona
N,La villa de los santos
N,Porlamar
N,Panama
N,Colombia
P,Valera
N,Quito
N,Cundinamarca
N,Colombia
N,Vietnanzuela
P,Nicaragua
N,Colombia
N,Colombia ibague tolima
N,Chile
N,Almirante brown
N,Villeta
N,Cundinamarca
P,Colombia
N,Atlantico
N,Calarca
N,Cundinamarca
N,Al norte del sur
N,Colombia
N,Madrid
N,Comunidad de madrid
N,Comunidad de madrid
N,Colombia
N,Comunidad de madrid
N,Comunidad de madrid
N,Comunidad de madrid
N,Comunidad de madrid
N,Comunidad de madrid
N,Comunidad de madrid
N,Valencia
N,Espaa
N,Colombia y ecuador
N,Cundinamarca
N,Colombia
P,Cundinamarca
N,Tolima
N,1049251
P,Colombia
P,Colombia
N,Santa fe
N,Desde el trabajo en casa
P,Las vegas
N,Guayaquil
P,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Lima 
N,Colombia
N,Ecuador
N,Cundinamarca
N,General san martin
N,General san martin
N,Cundinamarca
N,America
N,Colombia
N,America
N,Colombia
N,Guayaquil 
N,Girona
N,Colombia
N,Colombia
N,Colombia 
N,Bogota dc
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia ibague tolima
N,Colombia ibague tolima
P,Colombia ibague tolima
P,Colombia ibague tolima
P,55021
P,Itagui
N,Cundinamarca
N,Colombia
N,Colombia
N,Asa brooklyn 
N,Colombia
P,Madrid
P,Madrid
N,Everywhere
N,Gye
N,Bogota colombia
N,Colombia
P,Mexico
N,Colombia
N,Amazonia
N,Floridablanca 
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,Perdido
N,Nacion caribe
N,Cundinamarca
N,Madrid
N,Antioquia
P,Cundinamarca
N,Antioquia
N,Cuenca
N,Colombia
P,Colombia
N,Bogota dc
P,Antioquia
N,Monteria
N,Bogota colombia
N,Colombia
P,Bog
N,Colombia
N,Colombia
P,Colombia
N,Venezuela
P,Complexo do turano 
P,Monterrey
N,Col 
N,Colombia
N,Colombia
N,Colombia
N,Colombia
P,Panama
N,Norte de Santander
N,Colombia
P,Mexico
N,Colombia
P,Venezuela
P,Estado bolivar 
N,Colombia
N,Santa marta magdalena colombia
N,Colombia
P,Bogota 
P,Pereira
P,Bolivar
P,Lima 
N,Antioquia
N,Colombia
N,Colombia
N,Sao paulo
N,Colombia
P,Montreal
N,Deerfield
N,Bogota 
N,Colombia
N,Itaguai 
N,Alafaya
P,Canada
P,Colombia
N,Cundinamarca
N,Monterrey
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Ecuador
N,Cundinamarca
N,Internacional
N,Quito
N,Colombia
N,Curicica
N,
N,021
N,Colombia
N,Colombia
N,Engenhoca
N,Cundinamarca
N,Moreno pdh
P,Pastolinares nbogota
N,Colombia
P,Bucaramanga colombia
N,Marte o venus
N,Mexico
N,Estados unidos
N,Antioquia
N,Colombia
N, hobi  jimin
N,Cartagena 
N,Ecuador
P,Colombia
N,Ecuador
P,Venezuela
N,Ambato
N,Cundinamarca
N,Colombia
N,Ut 4650541
P,Ranelagh
N,Morona santiago
N,City of delusion
N,Colombia
N,Quito
N,Santiago de guayaquil
N,Colombia
N,Ing  maschwitz
N,Antioquia
N,Colombia
N,Valledupar
N,Colombia
N,Cundinamarca
P,Santa marta
N,Boston
N,Santander
N,Barra do pirai  rj
P,Complexo do lins
N,Cubato
P,Colombia
N,Miami 
P,Cundinamarca
N,Colombia
N,Na sua mente
N,Babilonia
P,Colombia
P,Nariño
N,Cundinamarca
N,Ibagu
N,Colombia
P,Colombia
P,Bogota 
N,Colombia
P,Cali colombia
N,Corrientes
N,Cundinamarca
N,Colombia
N,Colombia
N,Bogota dc
N,Cundinamarca
N,La ciudad de la furia
N,Colombia
N,Miami
P,Macondo
P,Colombia
N,Colombia
P,San martin
N,Colombia
N,Colombia
N,en la tierra del show diario
N,en la tierra del show diario
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Constitucion 1886
N,Colombia
N,El cielo
N,Colombia
N,Colombia
N,Washington
N,nantes contre la loi 2013
P,Brasil
P,La plata
P,Rio de janeiro
P,Lallybroch
P,Fortaleza 
P,Aca
P,Ot4 stan
P,Nilopolis
P,Colombia 
P,Espaa
N,Tibu norte de santander
N,United states
N,Antioquia
N,Colombia
N,Colombia
N,Colombia
N,Antioquia
N,Colombia
N,Colombia
N,Rio de janeiro
N,Complexo do lins
N,Colombia
N,Guayaquil 
N,Worldwide
N,Ecuador
N,Guayaquil 
N,Guayaquilea viviendo en quito
P,Caloto
N,Colombia
N,Colombia
N,Colombia
N,Rio de janeiro
N,Complexo do lins
N,Rio de janeiro
N,Localiza ai
N,Pqpescorpiana
N,Rio de janeiro
N,Juiz de fora temer
N,Estados unidos
N,021 
N,Oc city
N,Serra
N,Na disney 
N,Hogwarts
N,Cf city
N,Pedra de guaratiba
N,Colombia
N,No seu corao
N,Rjzo
N,Anchieta
N,Penha circular
N,Rio de janeiro
N,Colombia
N,Rio de janeiro
N,Nova iorque
N,Nova holanda
N,Colombia
N,Santorini
N,Colombia
N,Ipanema beach
N,Furk mendes
N,021
N,Bangu
N,Rio de janeiro
N,Rio de janeiro
N,Cabo frio
N,Pacincia
N,Paris
N,Colombia
N,Araruama
N,Seu vizinho
N,Parque a equitativa
N,Caju
N,Matheus malheiros 
N,Realengo
N,Rio de janeiro
N,021
N,Catumbi
N,Rio de janeiro
N,Rio das ostras
N,Colombia
N,Brasilia
N,Juiz de fora
N,Localizandooo
N,Brasil
N,Rio de janeiro
N,Rio de janeiro
N,Colombia
N,Colombia
N,Engenho novo
N,Rio de janeiro
N,Vicente de carvalho
N,Colombia
N,021 rj 40
N,Seu corao
N,022
N,Rio de janeiro
N,Colombia
N,Jacarepagua
N,Juiz de fora
N,Niteroi
N,No seu 
N,Colombia
N,Los angeles
N,No seu corao
N,Colombia
N,Bem aqui
N,Mandela
N,Konoha
N,Angra dos reis
N,Rio de janeiro
N,Honorio gurgel
N,Rio de janeiro
N,Rio de janeiro
N,Brasil
N,Sua boca
N,Detroit
N,032
N,Niteroi
N,Colombia
N,Colombia
N,Pechincha
N,Colombia
N,Rio de janeiro
N,Petropolis
N,022
N,Caxias city
N,021
N,Colombia
N,Rio de janeiro
N,Colombia
N,Colombia
N,Rio de janeiro
N,Rj
N,Colombia
N,Pqp
N,Colombia
N,So joo de meriti
N,027
N,Espirito santo
N,Marechal hermes
N,Comendador soares
N,Rio de janeiro
N,Curicica
N,Colombia
N,So pedro da aldeia
N,Bangu 
N,Rio de janeiro
N,Colombia
N,Rio de janeiro
N,Errejota
N,Santa izabel sg
N,Nova iguau
N,Japuiba
N,021riocrime
N,Rio de janeiro
N,027
N,Colombia
N,Rio de janeiro
N,Na sua cama bb
N,Taquaras ii
N,Poa
N,Bangu
N,Colombia
N,Sao joao mas queria london
N,Cosmos
N,Rio de janeiro
N,Vila velha
N,Rio de janeiro
N,Na pqp
N,Rio de janeiro
N,So jose dos campos
N,Colombia
N,Colombia
N,Na sua
N,Duque de caxias
N,Cidade maravilhosa
N,Colombia
N,Rio de janeiro
N,Onde vacilo nao se cria
N,Rj x cf
N,Colombia
N,021
N,Morro do castro
N,Paris
N,Rio de janeiro
N,Rj
N,Colombia
N,No seu coraao
N,Cincias contabeis
N,Itoupava central
N,027
N,Colombia
N,Santa teresa
N,Rio
N,London
N,Recreio dos bandeirantes
N,Colombia
N,Complexo da penha 
N,No bar
N,Saturno
N,No seu 
N,Vila velha
N,Rio de janeiro
N,Complexo do justo
N,Xvimmxv
N,Complexo de angra
N,Rio de janeiro
N,Guarapari
N,021
N,Marica
N,021
N,Parque santana
N,Ararucity
N,Rio de janeiro
N,Morro do conceito 
N,Juramento
N,Complexo do escado
N,Paris
N,Nova iguau
N,Iapi da penha
N,021
N,027
N,Colombia
N,Campo grande
N,Rio de janeiro
N,Colombia
N,Virando a esquerda
N,Copacabana
N,Israel
N,Jardim pancera
N,Colombia
N,Na casa do crll 
N,Colombia
N,Cabo frio
N,Na sua
N,Cg
N,Rio de janeiro
N,Cordovil
N,Juramento
N,Colombia
N,Rio de janeiro
N,Colombia
N,Morro boogie woogie
N,Rio de janeiro
N,Rio grande
N,Complexo do muquio
N,Centro
N,Campo grande
N,021
N,Niteroi
N,Beverly hills
N,Paris
N,Na sua
N,Rio de janeiro
N,Maktub 021
N,
N,Colombia
N,Mn
N,Rj
N,Brooklyn
N,Tjk
N,Rio de janeiro
N,Znrj
N,Colombia
N,Hype de janeiro
N,Rio de janeiro
N,
N,Colombia
N,Na puta que pariu
N,Rj 
N,Rio de janeiro
N,Rosewood heights
N,Guadalupe
N,
N,Vista alegre
N,Colombia
N,Colombia
N,Rio de janeiro
N,Mesquita
N,Rio de janeiro
N,Rio de janeiro
N,So pedro da aldeia
N,Colombia
N,Rio das ostras
N,So gonalo
N,Konoha
N,Rio de janeiro
N,Santos
N,Belo horizonte
N,021
N,Colombia
N,La casa do caralho
N,Colombia
N,Colombia
N,Onde vacilo no se cria
N,Colombia
N,To to distante
N,Angra 
N,55 21
N,Porto alegre
N,Puglia
N,Cf
N,Hawkins
N,So gonalo
N,Brasil
N,Colombia
N,Engenho novo
N,Catumbi
N,Rio de janeiro
N,Bangu city
N,Rio de janeiro
N,Reino da arabia saudita
N,Santa cruz
N,Colombia
N,Colombia
N,Caxias city
N,Barra do pirai
N,Flavio
N,Errejota
N,Rio de janeiro
N,Irajamaica
N,Colombia
N,021 
N,Colombia
N,Gold coast
N,Colombia
N,Rio de janeiro
N,Colombia
N,Brasil
N,Na sua
N,Rio de janeiro 
N,Rjzn
N,Angrinha 
N,Colombia
N,Na casa do caralho
N,Colombia
N,Fluminense fc
N,Rio de janeiro
N,Na sua calcinha
N,Mangacity
N,Mesquita
N,Rio de janeiro
N,Rj
N,Mgh
N,Cachambi
N,Colombia
N,Em algum lugar por ai 
N,Alice  ruansamuel 
N,Colombia
N,Rio de janeiro
N,Brooklyn
N,Duque de caxias
N,Nos ventos
N,Colombia
N,Vila valqueire
N,Minha casa
N,Rio de janeiro
N,Trem bala 
N,Seu quarto
N,Batalha do tank
N,027
N,Brooklyn
N,Rio de janeiro
N,Colombia
N,Colombia
N,Rio de janeiro
N,027 colatina
N,Rj zn
N,Niteroi
N,Patolinha
N,Cachoeiro de itapemirim
N,Zn
N,So gonalo
N,Rio de janeiro
N,Brasil
N,Rio de janeiro
N,Rio de janeiro
N,028
N,Olaria
N,Dubai
N,Colombia
N,So gonalo
N,Rio de janeiro
N,Colombia
N,Rj
N,Rio de janeiro
N,Descubra
N,Pelo mundo
N,Aonde os alemo no brota
N,Niteroi
N,Rio de janeiro
N,Weast coast me and vitorlib e a ruukialol
N,Zero27
N,011
N,Piuma
N,Rio de janeiro
N,Cabo frio
N,Rio de janeiro
N,Hell de janeiro
N,Apdblda
N,Localizando
N,Brooklyn
N,Colombia
N,Rio de janeiro
N,Guapimirim
N,Rj
N,Colombia
N,Rio de janeiro
N,Fluminense fc
N,Rio de janeiro
N,Colombia
N,Colombia
N,Cachoeiro 
N,Rio de janeiro
N,Colombia
N,So gonalo 
N,Colombia
N,Rio de janeiro
N,Rio de janeiro
N,Nova iguau
N,ca rio ca de janeiro
N,Serra
N,Brasilia
N,Colombia
N,Minas gerais
N,Minha casa
N,Colombia
N,Rio de janeiro
N,Foge que eu sou louca
N,Campos dos goytacazes
N,Praia grande
N,Colombia
N,Santo elias 202
N,Colombia
N,Beverly hills
N,So gonalo
N,Pelotas
N,Vidigalzsul
N,Macae
N,Colombia
N,Canal terra de deus
N,Zona oeste
N,Rio de janeiro
N,Minha base
N,Na sua lingua
N,Colombia
N,Rio de janeiro 
N,Vr city
N,T nem ai meu anjo
N,So pedro da aldeia
N,Santacrime 
N,Colombia
N,Rio de janeiro
N,Colombia
N,Paris
N,Rj 
N,027
N,Corte oito
N,Santo eugnio
N,Brooklyn
N,Penha
N,Marica
N,Realengo
N,Dc 
N,Zquad
N,Cpx da cermica
N,No te interessa
N,Rj
N,Barra da tijuca
N,Amsterdam 
N,Colombia
N,Espirito santo
N,Colombia
N,
N,Na sua mente
N,Marechal hermes
N,Rj
N,Rio de janeiro
N,Colombia
N,Colombia
N,Rio de janeiro
N,Friba
N,Colombia
N,Colombia
N,Colegio
N,Ali
N,021
N,Hogwarts
N,Colombia
N,22
N,Colombia
N,Colombia
N,Colombia
N,Las vegas
N,Arraial do cabo
N,Colombia
N,Cplx da duque
N,Rio de janeiro
N,Na rodinha no meio do baile
N,Iraja
N,Duque de caxias
N,Colombia
N,Las vegas
N,Rio de janeiro
N,Covanca city
N,Lua
N,Colombia
N,Ramos
N,Volta redonda
N,Rio de janeiro
N,Rj  17
N,So gonalo
N,Madureira
N,Maua
N,So mateus
N,Vp
N,Miami beach
N,Rio de janeiro
N,Colombia
N,Tangamandapio
N,Manacapuru
N,Paris
N,Las vegas
N,Colombia
N,Pau
N,Rj 021
N,Iraja
N,Rio de janeiro
N,Rio de janeiro
N,Manchester
N,Campos dos goytacazes
N,Barra vv
N,Colombia
N,Rj
N,Colombia
N,Rio bonito
N,Barra mansa
N,So jose dos campos sp
N,Morrin city
N,Rio de janeiro
N,Realengo
N,Catete
N,Teresopolis
N,Luisa  nego kaynan  lorena
N,Cachoeiro de itapemirim
N,Resende
N,Zn
N,No seu 
N,Colombia
N,Duque de caxias
N,Rio de janeiro
N,Minas gerais
N,022
N,Colombia
N,Colatina
N,Algum lugar
N,Duque de caxias
N,021
N,Colombia
N,Conceio da barra
N,Vila vintem
N,Belford roxo
N,Rio de janeiro
N,Campinas
N,Jardim america
N,Imbetiba
N,Na merda
N,Rj
N,Terra do joaquim
N,Ilha do governador
N,Catete
N,021
N,Ilha do governador
N,Colombia
N,Pilares
N,028
N,Dbu
N,Colombia
N,Colombia
N,Rio de janeiro
N,Vila isabel
N,Da onda
N,Rio de janeiro
N,Colombia
N,Rio de janeiro
N,Colombia
N,Piedade
N,Dubai
N,Bom jardim de minas
N,Rio das ostras
N,Complexo do caju
N,Itacoatiara
N,Vila velha
N,Rio de janeiro
N,Baixo engenho novo
N,Arraial do cabo
N,Errejota021  zo
N,Rio de janeiro
N,Colombia
N,Colombia
N,Jacarepagua
N,Serra
N,Belford roxo
N,Rio de janeiro
N,Colombia
N,Iraja
N,Dubai 
N,Rj 
N,Pais das maravilhas
N,Santa cruz
N,So januario
N,Rj
N,Rio das ostras
N,021
N,Comunidade de madrid
N,Bem longe de voc
N,Belford roxo
N,Rio de janeiro
N,Zo
N,Mesquita
N,Jf onda
N,Complexo do so carlos 
N,Rio de janeiro
N,Rio de janeiro
N,So gonalo
N,Colombia
N,Colombia
N,Bonsucesso
N,Volta redonda
N,No seu  baby
N,Taquara
N,Colombia
N,021 madureira city
N,Massachusetts
N,Na sua
N,Marica
N,Sagitariana
N,Paris
N,022
N,Na sua mente
N,Zo
N,Penharj
N,Eterno gui
N,Ninho do urubu
N,Tangara city
N,Colombia
N,Colombia
N,Colombia
N,Vitoria 
N,Yurijulio  ldo 
N,027
N,Rio de janeiro
N,Na sua
N,Cf city
N,Colombia
N,Nike
N,Na merda
N,Rio de janeiro
N,Pertinho de voc
N,Colombia
N,Colombia
N,Rj
N,Nova iguau
N,021
N,Pqp city
N,Colombia
N,021zn pilarescity
N,Vila isabel
N,Ilha do governador
N,Vila de konoha
N,Cg city
N,Rio de janeiro
N,Santa crime
N,Bonsucesso
N,Saracuruna city
N,Coelho neto
N,
N,Colombia
N,Bel city
N,Colombia
N,Colombia
N,Rio de janeiro
N,Por ai
N,Colombia
N,Colombia
N,Rio de janeiro
N,Vitoria
N,Colombia
N,Brasil
N,Rj
N,Rio de janeiro
N,Rio de janeiro
N,Sp 
N,Paris
N,021
N,Pacincia
N,Brasil
N,Miami beach
N,Jardim america
N,Colombia
N,Rj
N,Colombia
N,Colombia
N,Rio de janeiro
N,Santa maria
N,Rio de janeiro
N,Santa cruz
N,Bxd
N,Espanha
N,Rio de janeiro
N,Rio de janeiro
N,Terra do nunca
N,Colombia
N,Taua
N,Araruama
N,Santa rosa
N,Realengo
N,Cpx 022
N,Aonde os alemo no brota 
N,Iguape
N,Beverly hills
N,Engenho novo
N,Londres
N,021
N,Colombia
N,Na sua mente
N,Colombia
N,Copacabana
N,Jacarepagua
N,Rio de janeiro
N,Vitoria
N,Fenda do biquini
N,Colombia
N,Colombia
N,Rio de janeiro
N,Bxd
N,Rio de janeiro
N,Colombia
N,Colombia
N,Bangu
N,Saquarema
N,Beach city
N,Paris
N,Rio de janeiro
N,Caxias city
N,Colombia
N,Rio de janeiro
N,Gavea
N,Rio de janeiro
N,Cpx do alemo
N,Rio de janeiro
N,Jaca  vila velha 027
N,Parque beira mar
N,Rio de janeiro
N,Paris
N,Estados unidos
N,Nilocrime
N,Porto do rosa
N,Cariacica city
N,Rj
N,021 
N,Colombia
N,Cabo frio
N,Bxd
N,No seu corao bb
N,Ffmlc
N,Colombia
N,Rio de janeiro
N,Colombia
N,Vkzorj
N,Z n  rio de janeiro
N,Rio de janeiro
N,Independente
N,Condominio riviera del sol 
N,Na mente do 
N,Rio de janeiro
N,Niteroi
N,Rio de janeiro
N,Rio de janeiro
N,Colombia
N,Na merda
N,Bonsucesso
N,Diretamente da puta que pariu
N,Juramento
N,Nos braos do pai
N,Na sua mente 
N,Colombia
N,Rio de janeiro
N,Rio de janeiro
N,Comunidade de madrid
N,Rio de janeiro
N,Colombia
N,Paris
N,Colombia
N,Nova iguau
N,Na sua cama bb
N,Campo grande 
N,Complexo do lins
N,Eterno anozinho 
N,Colombia
N,Quito ecuador
N,Venezuela
N,Cundinamarca
P,Colombia
P,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Cualquier parte
P,Antioquia
N,The northeastern us
N,Whyalla
P,Cundinamarca
N,Mostly living in internet
N,Socorro
N,Colombia
N,Colombia
N,San jacinto
N,Atlantico
N,Barquisimeto
N,Colombia
N,Cerete
N,Cundinamarca
N,Bogota 
P,Colombia
N,Colombia
N,Williamstown
N,Tamil nadu
N,Colombia
N,New york
N,Texas
N,7
N,Colombia
N,Fairbanks
N,Colombia
N,Ponce
N,Colombia
N,United states
N,Nc
N,Ft sill
N,On gadigal land
N, 
N,Flushing
N,South florida
N,Mumbai
N,Texas
N,Erie
N,Virginia
N,Colombia
N,Colombia
N,Tarleton state university
N,Colorado
N,Nsu
N,Colombia
N,Colombia
N,Samut prakan
N,Ut 4707374
N,Nairobi
N,Halifax
N,     
N,Washington
N,Colombia
N,Wyoming
N,Florida
N,Dunn
N,Colombia
N,Austin
N,The third dimension
N,Atl heaux
N,Colombia
N,Colombia
N,Colombia
N,Hotevilla
N,Oregon
N,Algiers
N,Usa
N,Colombia
N,Jakarta
N,Colombia
N,United states
N,Raleigh
N,Central coast
N,St simons
N,Georgia
N,Colombia
N,Ex punta arenas
N,Bangkok 
N,Boston
N,Santa paula
N,Austin
N,
N,Colombia
N,New jersey
N,Chicago
N,Colombia
N,Bronx
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Albuquerque
N,Be reconciled to god 2cor520
N,Usa
N,Florianopolis
N,Colombia
N,Colorado
N,New york
N,Colombia
N,Long island
N,Ags
N,Washington
N,Blocked by some idiot trump supporter after i posted monthy python  the holy grail videos  ahe too bad
N,Colombia
N,Colombia
N,Philadelphiapa
N,Melbourne
N,Virginia
N,Colombia
N,Washington
N,Colombia
N,Colombia
N,Tlaquepaque
N,La
N,Colombia
N,15 yemen road
N,Colombia
N,Minding my bidness
N,Colombia
N,North east tasmania
N,Colombia
N,Tembisa
N,Pontiac
N,Antioquia
N,India
N,Colombia
N,Deland
N,United states
N, 
N,Colombia
N,London
N,Washington state
N,Salem
N,Chicago
N,Wash
N,Sacramento
N,Florida
N,Keilor victoria
N,Merna
N,Colombia
N,Colombia
N,California
N,Colombia
N,Colombia
N,Florida
N,Lakeland
N,San mateo
N,Texas
N,The island east of manhattan
N,Dallas
N,Nj
N,Uganda
N,Columbia
N,Colombia
N,Colombia
N,Winchester uk
N,Dallas
N,San jose
N,Colombia
N,Bestsideleftsidewestside
N,Colombia
N,Lake zurich
N,Toronto
N,Uberall
N,Colombia
N,Lake geneva
N,Richmond
N,Colombia
N,United states
N,Colombia
N,Minnesota
N,Colombia
N,Alabama
N,Limerick
N,Plattville 
N,Broward county
N,Ecuador
N,Colombia
N,Colombia
N,Colombia
N,Caracas
N,Venezuela
N,Colombia
N,Colombia
N,Venezuela
N,Colombia
N,Colombia
N,Miami
N,Colombia
N,Entre el aqui y el ahora
N,Con san miguel siempre
N,Colombia
N,Venezuela
N,Guaicay
N,Colombia
N,Tachira
N,Rancagua
P,Con san miguel siempre
N,Neiva 
N,Mexico
N,Cali colombia
N,Colombia
N,Cartagena colombia
N,Cundinamarca
P,Ambato
P,Ambato
P,Ecuador
P,Ambato
N,Colombia womenland pda
N,Colombia
N,Colombia
N,En cualquier lugar donde la derecha va a perder una eleccion
N,Cundinamarca
P,Colombia
N,Brewster
N,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Cundinamarca
N,Colombia
N,El cielo
N,Colombia
N,Cundinamarca
P,Chile
P,La serena
P,Colombia
N,Yondo
N,Cerca de aqui lejos de alla
N,Colombia
N,Colombia
N,Colombia
N,Bogota dc
N,Colombia
N,Colombia
N,Colombia
N,New york
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Marinilla
N,Alemania
N,Colombia
N,Colombia
N,Bogot dc
N,Colombia
N,Colombia
N,Norte de Santander
N,Cundinamarca
P,Bogota dc
N,Bogota dc
P,Bogota dc
N,Bogota 
N,Cundinamarca
N,Santander
N,Colombia
N,Colombia
N,Colombia
P,Biel
N,Colombia
N,Nova iorque
N,Colombia
N,Rio de janeiro
N,Rj
N,No seu 
N,Complexo do lins
N,Vila valqueire
N,Antioquia
N,Nova angra
N,Congonha city
N,Colombia
N,Colombia
N,Vargem pequena
N,Nova iguau
N,Duque de caxias
N,Colombia
N,Rio de janeiro
N,Colombia
N,Colombia
N,
N,Complexo da 14
N,Rio de janeiro
N,Hogwarts
N,Colombia
N,Cpx
N,021 
N,Colombia
N,Araruama
N,Bem longe de voc 
N,Colombia
N,Colombia
N,Caxiascity
N,5522
N,021
N,Rio de janeiro
N,Colombia
N,Beverly hills
N,Vidigal
N,Nova iguau
N,Colombia
N,Eulina city 
N,No seu 
N,Rio de janeiro
N,Colombia
N,Serra
N,Meier
N,Rio de janeiro
N,Santa cruz 
N,021 
N,Rio de janeiro
N,Moro em dubai meno
N,Miami beach
N,Rio de janeiro
N,Brasil
N,Beverly hills
N,Rio de janeiro
N,Complexo da india
N,Pompeia city
N,Rio de janeiro
N,Rio de janeiro
N,So cristovo
N,Colombia
N,Colombia
N,Ch city
N,Colombia
N,Complexo da vila ruth
N,Rio de janeiro
N,Colombia
N,Rio de janeiro
N,Liga o gps e tenta descobrir
N,Bangu
N,Rio de janeiro
N,Rio de janeiro
N,Itaguai
N,Rio das ostras 
N,Rio de janeiro
N,Rio de janeiro
N,021  so gonalo
N,Rio de janeiro
N,Jordo
N,Na puta que pariu
N,Belford roxo
N,Cabo frio
N,Iraja
N,Localiza ai piranha
N,Cidade maravilhosa
N,Padre miguel
N,myhsantos1
N,Rio de janeiro
N,Na puta que pariu
N,Rio de janeiro
N,Localiza ai bb 
N,Rio de janeiro
N,Mage
N,Colombia
N,Duque de caxias
N,Colombia
N,Cartel de cali
N,Colombia
N,Colombia
