Sentimiento
N
P
N
N
N
P
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
P
P
N
N
N
N
N
N
N
N
P
N
P
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
P
N
N
N
P
N
N
P
N
P
P
P
N
N
N
P
N
N
N
N
P
P
N
N
N
N
N
N
P
P
N
N
N
N
N
N
N
P
N
N
N
P
N
N
P
N
N
N
N
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
P
P
N
N
N
P
N
N
N
N
N
N
N
N
P
P
P
N
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
P
N
N
N
N
N
P
P
N
P
N
N
P
N
N
P
N
N
P
P
N
N
N
N
P
P
N
N
P
P
P
N
N
N
N
N
N
N
N
P
N
N
N
P
P
P
P
N
P
N
P
N
N
P
N
P
N
N
P
N
N
P
N
N
N
N
P
P
N
N
N
N
N
N
N
N
N
N
N
N
P
P
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
P
P
N
N
N
N
P
N
P
N
N
N
N
N
N
N
P
N
N
N
N
P
N
N
P
N
P
N
N
N
P
N
N
N
N
N
P
N
P
N
N
N
N
P
P
N
N
N
N
P
P
N
N
N
N
N
N
P
N
N
N
N
N
P
N
N
N
N
N
N
P
P
N
P
N
N
P
N
N
N
N
N
N
N
N
N
N
P
N
N
N
P
P
N
N
N
P
P
N
P
N
P
N
N
N
N
P
N
N
N
P
P
P
N
N
N
N
N
N
N
P
N
P
N
P
N
N
N
P
N
N
N
N
P
N
N
N
N
N
N
P
P
N
N
P
N
N
P
P
N
P
N
N
N
N
N
P
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
N
P
P
N
N
P
N
N
P
N
N
N
N
N
N
N
N
N
N
P
P
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
P
N
N
P
N
N
N
P
N
N
N
N
P
N
P
P
N
P
N
N
N
N
P
N
N
N
N
N
N
N
N
N
N
N
N
N
N
N
P
N
N
N
P
P
P
N
P
P
N
N
N
N
N
P
N
N
P
N
N
N
N
N
N
N
N
N
P
N
N
N
N
N
N
N
N
N
N
N
N
N
N
P
N
N
P
N
N
N
N
N
P
N
N
P
N
N
N
N
N
N
N
N
P
P
N
N
N
N
N
N
P
N
P
N
N
N
N
N
N
N
N
N
